series,date,value
Python_(programming_language),2025-01-01,3074.0
Python_(programming_language),2025-01-02,4207.0
Python_(programming_language),2025-01-03,4250.0
Python_(programming_language),2025-01-04,3525.0
Python_(programming_language),2025-01-05,3534.0
Python_(programming_language),2025-01-06,4663.0
Python_(programming_language),2025-01-07,5285.0
Python_(programming_language),2025-01-08,5519.0
Python_(programming_language),2025-01-09,5512.0
Python_(programming_language),2025-01-10,4753.0
Python_(programming_language),2025-01-11,3593.0
Python_(programming_language),2025-01-12,3505.0
Python_(programming_language),2025-01-13,5212.0
Python_(programming_language),2025-01-14,5020.0
Python_(programming_language),2025-01-15,5544.0
Python_(programming_language),2025-01-16,5955.0
Python_(programming_language),2025-01-17,5034.0
Python_(programming_language),2025-01-18,3664.0
Python_(programming_language),2025-01-19,3820.0
Python_(programming_language),2025-01-20,5556.0
Python_(programming_language),2025-01-21,5797.0
Python_(programming_language),2025-01-22,5626.0
Python_(programming_language),2025-01-23,6036.0
Python_(programming_language),2025-01-24,5678.0
Python_(programming_language),2025-01-25,4073.0
Python_(programming_language),2025-01-26,4008.0
Python_(programming_language),2025-01-27,5742.0
Python_(programming_language),2025-01-28,6110.0
Python_(programming_language),2025-01-29,5890.0
Python_(programming_language),2025-01-30,5820.0
Python_(programming_language),2025-01-31,5390.0
Python_(programming_language),2025-02-01,4408.0
Python_(programming_language),2025-02-02,4081.0
Python_(programming_language),2025-02-03,5698.0
Python_(programming_language),2025-02-04,6098.0
Python_(programming_language),2025-02-05,6140.0
Python_(programming_language),2025-02-06,5905.0
Python_(programming_language),2025-02-07,5233.0
Python_(programming_language),2025-02-08,3816.0
Python_(programming_language),2025-02-09,3907.0
Python_(programming_language),2025-02-10,5289.0
Python_(programming_language),2025-02-11,5488.0
Python_(programming_language),2025-02-12,5375.0
Python_(programming_language),2025-02-13,5337.0
Python_(programming_language),2025-02-14,4436.0
Python_(programming_language),2025-02-15,3561.0
Python_(programming_language),2025-02-16,3574.0
Python_(programming_language),2025-02-17,5038.0
Python_(programming_language),2025-02-18,5540.0
Python_(programming_language),2025-02-19,5408.0
Python_(programming_language),2025-02-20,5395.0
Python_(programming_language),2025-02-21,4631.0
Python_(programming_language),2025-02-22,3676.0
Python_(programming_language),2025-02-23,4132.0
Python_(programming_language),2025-02-24,5463.0
Python_(programming_language),2025-02-25,5160.0
Python_(programming_language),2025-02-26,4724.0
Python_(programming_language),2025-02-27,5050.0
Python_(programming_language),2025-02-28,4739.0
Python_(programming_language),2025-03-01,3300.0
Python_(programming_language),2025-03-02,3607.0
Python_(programming_language),2025-03-03,4917.0
Python_(programming_language),2025-03-04,5025.0
Python_(programming_language),2025-03-05,5139.0
Python_(programming_language),2025-03-06,4870.0
Python_(programming_language),2025-03-07,4608.0
Python_(programming_language),2025-03-08,3263.0
Python_(programming_language),2025-03-09,3217.0
Python_(programming_language),2025-03-10,4748.0
Python_(programming_language),2025-03-11,4887.0
Python_(programming_language),2025-03-12,4885.0
Python_(programming_language),2025-03-13,4531.0
Python_(programming_language),2025-03-14,3920.0
Python_(programming_language),2025-03-15,3200.0
Python_(programming_language),2025-03-16,3395.0
Python_(programming_language),2025-03-17,4947.0
Python_(programming_language),2025-03-18,4769.0
Python_(programming_language),2025-03-19,4783.0
Python_(programming_language),2025-03-20,4498.0
Python_(programming_language),2025-03-21,4231.0
Python_(programming_language),2025-03-22,3340.0
Python_(programming_language),2025-03-23,3183.0
Python_(programming_language),2025-03-24,4205.0
Python_(programming_language),2025-03-25,4377.0
Python_(programming_language),2025-03-26,4531.0
Python_(programming_language),2025-03-27,4636.0
Python_(programming_language),2025-03-28,4011.0
Python_(programming_language),2025-03-29,3125.0
Python_(programming_language),2025-03-30,2843.0
Python_(programming_language),2025-03-31,3688.0
Python_(programming_language),2025-04-01,4131.0
Python_(programming_language),2025-04-02,4343.0
Python_(programming_language),2025-04-03,3921.0
Python_(programming_language),2025-04-04,3740.0
Python_(programming_language),2025-04-05,2815.0
Python_(programming_language),2025-04-06,2731.0
Python_(programming_language),2025-04-07,4193.0
Python_(programming_language),2025-04-08,4533.0
Python_(programming_language),2025-04-09,4432.0
Python_(programming_language),2025-04-10,4209.0
Python_(programming_language),2025-04-11,3803.0
Python_(programming_language),2025-04-12,2863.0
Python_(programming_language),2025-04-13,2804.0
Python_(programming_language),2025-04-14,3885.0
Python_(programming_language),2025-04-15,4180.0
Python_(programming_language),2025-04-16,3978.0
Python_(programming_language),2025-04-17,3968.0
Python_(programming_language),2025-04-18,3439.0
Python_(programming_language),2025-04-19,2885.0
Python_(programming_language),2025-04-20,2992.0
Python_(programming_language),2025-04-21,3408.0
Python_(programming_language),2025-04-22,4093.0
Python_(programming_language),2025-04-23,4142.0
Python_(programming_language),2025-04-24,3942.0
Python_(programming_language),2025-04-25,3680.0
Python_(programming_language),2025-04-26,2858.0
Python_(programming_language),2025-04-27,2889.0
Python_(programming_language),2025-04-28,3851.0
Python_(programming_language),2025-04-29,4026.0
Python_(programming_language),2025-04-30,3986.0
Python_(programming_language),2025-05-01,3130.0
Python_(programming_language),2025-05-02,3336.0
Python_(programming_language),2025-05-03,2765.0
Python_(programming_language),2025-05-04,2769.0
Python_(programming_language),2025-05-05,3943.0
Python_(programming_language),2025-05-06,4346.0
Python_(programming_language),2025-05-07,3974.0
Python_(programming_language),2025-05-08,3841.0
Python_(programming_language),2025-05-09,3793.0
Python_(programming_language),2025-05-10,2550.0
Python_(programming_language),2025-05-11,2741.0
Python_(programming_language),2025-05-12,3665.0
Python_(programming_language),2025-05-13,3884.0
Python_(programming_language),2025-05-14,4159.0
Python_(programming_language),2025-05-15,4021.0
Python_(programming_language),2025-05-16,3592.0
Python_(programming_language),2025-05-17,2825.0
Python_(programming_language),2025-05-18,2815.0
Python_(programming_language),2025-05-19,4153.0
Python_(programming_language),2025-05-20,4017.0
Python_(programming_language),2025-05-21,4001.0
Python_(programming_language),2025-05-22,4012.0
Python_(programming_language),2025-05-23,3697.0
Python_(programming_language),2025-05-24,2709.0
Python_(programming_language),2025-05-25,2736.0
Python_(programming_language),2025-05-26,3689.0
Python_(programming_language),2025-05-27,4417.0
Python_(programming_language),2025-05-28,3985.0
Python_(programming_language),2025-05-29,3780.0
Python_(programming_language),2025-05-30,3581.0
Python_(programming_language),2025-05-31,2666.0
Python_(programming_language),2025-06-01,2839.0
Python_(programming_language),2025-06-02,3728.0
Python_(programming_language),2025-06-03,3885.0
Python_(programming_language),2025-06-04,4132.0
Python_(programming_language),2025-06-05,3756.0
Python_(programming_language),2025-06-06,15718.0
Python_(programming_language),2025-06-07,7883.0
Python_(programming_language),2025-06-08,2628.0
Python_(programming_language),2025-06-09,3778.0
Python_(programming_language),2025-06-10,4132.0
Python_(programming_language),2025-06-11,3583.0
Python_(programming_language),2025-06-12,3803.0
Python_(programming_language),2025-06-13,3613.0
Python_(programming_language),2025-06-14,2610.0
Python_(programming_language),2025-06-15,2764.0
Python_(programming_language),2025-06-16,3727.0
Python_(programming_language),2025-06-17,3773.0
Python_(programming_language),2025-06-18,3554.0
Python_(programming_language),2025-06-19,3466.0
Python_(programming_language),2025-06-20,3087.0
Python_(programming_language),2025-06-21,2512.0
Python_(programming_language),2025-06-22,2572.0
Python_(programming_language),2025-06-23,3458.0
Python_(programming_language),2025-06-24,3627.0
Python_(programming_language),2025-06-25,3596.0
Python_(programming_language),2025-06-26,3578.0
Python_(programming_language),2025-06-27,3155.0
Python_(programming_language),2025-06-28,2499.0
Python_(programming_language),2025-06-29,2548.0
Python_(programming_language),2025-06-30,3496.0
SQL,2025-01-01,1029.0
SQL,2025-01-02,1648.0
SQL,2025-01-03,1749.0
SQL,2025-01-04,1267.0
SQL,2025-01-05,1250.0
SQL,2025-01-06,2140.0
SQL,2025-01-07,2237.0
SQL,2025-01-08,2316.0
SQL,2025-01-09,2294.0
SQL,2025-01-10,1911.0
SQL,2025-01-11,1224.0
SQL,2025-01-12,1317.0
SQL,2025-01-13,2164.0
SQL,2025-01-14,2190.0
SQL,2025-01-15,2270.0
SQL,2025-01-16,2335.0
SQL,2025-01-17,2067.0
SQL,2025-01-18,1355.0
SQL,2025-01-19,1332.0
SQL,2025-01-20,2062.0
SQL,2025-01-21,2376.0
SQL,2025-01-22,2442.0
SQL,2025-01-23,2568.0
SQL,2025-01-24,2161.0
SQL,2025-01-25,1367.0
SQL,2025-01-26,1412.0
SQL,2025-01-27,2250.0
SQL,2025-01-28,2394.0
SQL,2025-01-29,2306.0
SQL,2025-01-30,2330.0
SQL,2025-01-31,2083.0
SQL,2025-02-01,1358.0
SQL,2025-02-02,1306.0
SQL,2025-02-03,2284.0
SQL,2025-02-04,2521.0
SQL,2025-02-05,2420.0
SQL,2025-02-06,2291.0
SQL,2025-02-07,1708.0
SQL,2025-02-08,1176.0
SQL,2025-02-09,1089.0
SQL,2025-02-10,1947.0
SQL,2025-02-11,3870.0
SQL,2025-02-12,5617.0
SQL,2025-02-13,2808.0
SQL,2025-02-14,2000.0
SQL,2025-02-15,1466.0
SQL,2025-02-16,1375.0
SQL,2025-02-17,2022.0
SQL,2025-02-18,2068.0
SQL,2025-02-19,2201.0
SQL,2025-02-20,2159.0
SQL,2025-02-21,1936.0
SQL,2025-02-22,1288.0
SQL,2025-02-23,1199.0
SQL,2025-02-24,2186.0
SQL,2025-02-25,2088.0
SQL,2025-02-26,2054.0
SQL,2025-02-27,2208.0
SQL,2025-02-28,1973.0
SQL,2025-03-01,1239.0
SQL,2025-03-02,1277.0
SQL,2025-03-03,2163.0
